run_id,run_timestamp,scoring_version,Sector,SectorMedianPE
20260404-072616,2026-04-04 07:27:46,3.0.0,Energy,6.50837735
20260404-072616,2026-04-04 07:27:46,3.0.0,Financial Services,6.400234
20260404-072616,2026-04-04 07:27:46,3.0.0,Healthcare,9.451024
20260404-072616,2026-04-04 07:27:46,3.0.0,Industrials,9.580292
20260404-072616,2026-04-04 07:27:46,3.0.0,Real Estate,4.8589587
20260404-072616,2026-04-04 07:27:46,3.0.0,Technology,8.617764300000001
20260404-072616,2026-04-04 07:27:46,3.0.0,Utilities,11.679965500000002
20260406-211427,2026-04-06 21:17:20,3.0.0,Basic Materials,7.67439
20260406-211427,2026-04-06 21:17:20,3.0.0,Communication Services,11.706243
20260406-211427,2026-04-06 21:17:20,3.0.0,Consumer Cyclical,7.0241313
20260406-211427,2026-04-06 21:17:20,3.0.0,Consumer Defensive,7.91847915
20260406-211427,2026-04-06 21:17:20,3.0.0,Energy,6.5912207
20260406-211427,2026-04-06 21:17:20,3.0.0,Financial Services,6.4740696
20260406-211427,2026-04-06 21:17:20,3.0.0,Healthcare,8.984306
20260406-211427,2026-04-06 21:17:20,3.0.0,Industrials,9.431303
20260406-211427,2026-04-06 21:17:20,3.0.0,Real Estate,4.868243
20260406-211427,2026-04-06 21:17:20,3.0.0,Technology,8.29396525
20260406-211427,2026-04-06 21:17:20,3.0.0,Utilities,11.572348
20260406-222531,2026-04-06 22:25:31,3.0.0,Basic Materials,7.67439
20260406-222531,2026-04-06 22:25:31,3.0.0,Communication Services,11.706243
20260406-222531,2026-04-06 22:25:31,3.0.0,Consumer Cyclical,7.0241313
20260406-222531,2026-04-06 22:25:31,3.0.0,Consumer Defensive,7.91847915
20260406-222531,2026-04-06 22:25:31,3.0.0,Energy,6.5912207
20260406-222531,2026-04-06 22:25:31,3.0.0,Financial Services,6.4740696
20260406-222531,2026-04-06 22:25:31,3.0.0,Healthcare,8.984306
20260406-222531,2026-04-06 22:25:31,3.0.0,Industrials,9.431303
20260406-222531,2026-04-06 22:25:31,3.0.0,Real Estate,4.868243
20260406-222531,2026-04-06 22:25:31,3.0.0,Technology,8.29396525
20260406-222531,2026-04-06 22:25:31,3.0.0,Utilities,11.572348
20260406-222822,2026-04-06 22:30:25,3.0.0,Basic Materials,7.67439
20260406-222822,2026-04-06 22:30:25,3.0.0,Communication Services,11.706243
20260406-222822,2026-04-06 22:30:25,3.0.0,Consumer Cyclical,7.0241313
20260406-222822,2026-04-06 22:30:25,3.0.0,Consumer Defensive,7.91847915
20260406-222822,2026-04-06 22:30:25,3.0.0,Energy,6.5912207
20260406-222822,2026-04-06 22:30:25,3.0.0,Financial Services,6.4740696
20260406-222822,2026-04-06 22:30:25,3.0.0,Healthcare,8.984306
20260406-222822,2026-04-06 22:30:25,3.0.0,Industrials,9.431303
20260406-222822,2026-04-06 22:30:25,3.0.0,Real Estate,4.868243
20260406-222822,2026-04-06 22:30:25,3.0.0,Technology,8.29396525
20260406-222822,2026-04-06 22:30:25,3.0.0,Utilities,11.572348
20260407-211712,2026-04-07 21:19:59,3.0.0,Basic Materials,7.4144173
20260407-211712,2026-04-07 21:19:59,3.0.0,Communication Services,11.7376595
20260407-211712,2026-04-07 21:19:59,3.0.0,Consumer Cyclical,6.9129643
20260407-211712,2026-04-07 21:19:59,3.0.0,Consumer Defensive,8.00844235
20260407-211712,2026-04-07 21:19:59,3.0.0,Energy,6.4007771
20260407-211712,2026-04-07 21:19:59,3.0.0,Financial Services,6.3485246
20260407-211712,2026-04-07 21:19:59,3.0.0,Healthcare,9.100986
20260407-211712,2026-04-07 21:19:59,3.0.0,Industrials,9.302107
20260407-211712,2026-04-07 21:19:59,3.0.0,Real Estate,4.585883
20260407-211712,2026-04-07 21:19:59,3.0.0,Technology,8.33630675
20260407-211712,2026-04-07 21:19:59,3.0.0,Utilities,11.5965475
20260408-220322,2026-04-08 22:05:47,3.0.0,Basic Materials,7.6117845
20260408-220322,2026-04-08 22:05:47,3.0.0,Communication Services,12.166821500000001
20260408-220322,2026-04-08 22:05:47,3.0.0,Consumer Cyclical,7.229043
20260408-220322,2026-04-08 22:05:47,3.0.0,Consumer Defensive,8.318480000000001
20260408-220322,2026-04-08 22:05:47,3.0.0,Energy,6.1854512
20260408-220322,2026-04-08 22:05:47,3.0.0,Financial Services,6.665786
20260408-220322,2026-04-08 22:05:47,3.0.0,Healthcare,9.246836
20260408-220322,2026-04-08 22:05:47,3.0.0,Industrials,9.583989
20260408-220322,2026-04-08 22:05:47,3.0.0,Real Estate,4.9833727
20260408-220322,2026-04-08 22:05:47,3.0.0,Technology,8.580585750000001
20260408-220322,2026-04-08 22:05:47,3.0.0,Utilities,12.034334
20260409-200414,2026-04-09 20:06:22,3.0.0,Basic Materials,7.913567
20260409-200414,2026-04-09 20:06:22,3.0.0,Communication Services,12.592861
20260409-200414,2026-04-09 20:06:22,3.0.0,Consumer Cyclical,7.4475436
20260409-200414,2026-04-09 20:06:22,3.0.0,Consumer Defensive,8.503040500000001
20260409-200414,2026-04-09 20:06:22,3.0.0,Energy,6.324307
20260409-200414,2026-04-09 20:06:22,3.0.0,Financial Services,6.7084675
20260409-200414,2026-04-09 20:06:22,3.0.0,Healthcare,9.276006
20260409-200414,2026-04-09 20:06:22,3.0.0,Industrials,9.65446
20260409-200414,2026-04-09 20:06:22,3.0.0,Real Estate,5.168646
20260409-200414,2026-04-09 20:06:22,3.0.0,Technology,8.3963955
20260409-200414,2026-04-09 20:06:22,3.0.0,Utilities,12.266442999999999
20260410-223139,2026-04-10 22:33:46,3.0.0,Basic Materials,7.8930492
20260410-223139,2026-04-10 22:33:46,3.0.0,Communication Services,12.5066965
20260410-223139,2026-04-10 22:33:46,3.0.0,Consumer Cyclical,7.464703
20260410-223139,2026-04-10 22:33:46,3.0.0,Consumer Defensive,8.381871
20260410-223139,2026-04-10 22:33:46,3.0.0,Energy,6.47280575
20260410-223139,2026-04-10 22:33:46,3.0.0,Financial Services,6.7550154
20260410-223139,2026-04-10 22:33:46,3.0.0,Healthcare,9.15625
20260410-223139,2026-04-10 22:33:46,3.0.0,Industrials,9.689695
20260410-223139,2026-04-10 22:33:46,3.0.0,Real Estate,5.144893
20260410-223139,2026-04-10 22:33:46,3.0.0,Technology,8.3420355
20260410-223139,2026-04-10 22:33:46,3.0.0,Utilities,12.595205
20260413-204255,2026-04-13 20:45:24,3.0.0,Basic Materials,7.901385
20260413-204255,2026-04-13 20:45:24,3.0.0,Communication Services,12.2705395
20260413-204255,2026-04-13 20:45:24,3.0.0,Consumer Cyclical,7.576245
20260413-204255,2026-04-13 20:45:24,3.0.0,Consumer Defensive,8.454711
20260413-204255,2026-04-13 20:45:24,3.0.0,Energy,6.4251780499999995
20260413-204255,2026-04-13 20:45:24,3.0.0,Financial Services,6.8045874
20260413-204255,2026-04-13 20:45:24,3.0.0,Healthcare,9.171875
20260413-204255,2026-04-13 20:45:24,3.0.0,Industrials,9.792219
20260413-204255,2026-04-13 20:45:24,3.0.0,Real Estate,5.264388
20260413-204255,2026-04-13 20:45:24,3.0.0,Technology,8.6307908
20260413-204255,2026-04-13 20:45:24,3.0.0,Utilities,12.577109499999999
20260413-222502,2026-04-13 22:26:44,3.0.0,Basic Materials,7.901385
20260413-222502,2026-04-13 22:26:44,3.0.0,Communication Services,12.2705395
20260413-222502,2026-04-13 22:26:44,3.0.0,Consumer Cyclical,7.576245
20260413-222502,2026-04-13 22:26:44,3.0.0,Consumer Defensive,8.454711
20260413-222502,2026-04-13 22:26:44,3.0.0,Energy,6.4251780499999995
20260413-222502,2026-04-13 22:26:44,3.0.0,Financial Services,6.8045874
20260413-222502,2026-04-13 22:26:44,3.0.0,Healthcare,9.171875
20260413-222502,2026-04-13 22:26:44,3.0.0,Industrials,9.792219
20260413-222502,2026-04-13 22:26:44,3.0.0,Real Estate,5.264388
20260413-222502,2026-04-13 22:26:44,3.0.0,Technology,8.6307908
20260413-222502,2026-04-13 22:26:44,3.0.0,Utilities,12.577109499999999
