run_id,date,portfolio_real_value,benchmark1_name,benchmark1_real_value,benchmark2_name,benchmark2_real_value,portfolio_daily_return,benchmark1_daily_return,benchmark2_daily_return,portfolio_accum_return,benchmark1_accum_return,benchmark2_accum_return,portfolio_composition
20260409-200414,2018-01-18,9662.571745114565,^BVSP,80963.0,,,-0.009747058687041177,-0.0027836283240340043,0.0,3936.865047109402,1706.2443362626739,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.7400000095367432}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.487499952316284}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 19.440000534057617}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 18.219999313354492}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 42.86000061035156}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.83366584777832}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 15.924449920654297}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-19,9717.175835938922,^BVSP,81220.0,,,0.005651092924817493,0.0031742894902608843,0.0,3959.112637323083,1711.6604497270896,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.7619999647140503}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.487499952316284}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 19.309999465942383}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 18.260000228881836}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 42.880001068115234}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.83366584777832}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 16.391651153564453}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-22,9706.217115390073,^BVSP,81675.0,,,-0.0011277680607898752,0.005602068456045384,0.0,3954.6476765416405,1721.2492887399662,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.7000000476837158}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.450000047683716}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 19.510000228881836}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 18.469999313354492}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 42.650001525878906}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.83366584777832}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 17.0884952545166}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-23,9616.48739606338,^BVSP,80678.0,,,-0.00924456132187878,-0.01220691766146309,0.0,3918.088693589426,1700.2381403974655,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.731600046157837}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.375}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 19.34000015258789}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 18.239999771118164}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 40.93000030517578}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.83366584777832}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 16.407489776611328}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-24,9949.8482506109,^BVSP,83680.0,,,0.03466555310871483,0.03720964823124029,0.0,4053.9114052817054,1763.5034035109934,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.830000042915344}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.424999952316284}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.6299991607666}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.34000015258789}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.779998779296875}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.666666030883787}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 17.935792922973633}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-25,9949.8482506109,^BVSP,83680.0,,,0.0,0.0,0.0,4053.9114052817054,1763.5034035109934,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.830000042915344}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.424999952316284}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 20.6299991607666}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.34000015258789}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.779998779296875}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.666666030883787}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 17.935792922973633}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-26,10016.746102234849,^BVSP,85531.0,,,0.006723504714741867,0.022119980879541146,0.0,4081.1678977282622,1802.5120650776623,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.7796000242233276}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.424999952316284}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 21.709999084472656}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.93000030517578}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.43000030517578}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.666666030883787}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 18.870197296142575}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-29,10065.760546824114,^BVSP,84698.0,,,0.0048932501721620555,-0.00973915890145094,0.0,4101.138073246443,1784.9571136540885,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.809999942779541}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.4625000953674316}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 21.709999084472656}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.850000381469727}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.88999938964844}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.833333015441896}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 18.7276611328125}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-30,9941.652077476383,^BVSP,84482.0,,,-0.012329765721169237,-0.0025502373137500367,0.0,4050.5720016131468,1780.4050494194043,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.750599980354309}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.450000047683716}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 21.18000030517578}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.489999771118164}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.470001220703125}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.833333015441896}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 18.45050621032715}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.600000381469727}}"
20260409-200414,2018-01-31,9999.283210661599,^BVSP,84913.0,,,0.005796937243034543,0.005101678464051407,0.0,4074.0529133048913,1789.4881035173157,1000.0,"{""PRIO3.SA"": {""weight"": 0.173, ""value"": 1.7660000324249268}, ""ENEV3.SA"": {""weight"": 0.1416, ""value"": 3.4600000381469727}, ""PETR3.SA"": {""weight"": 0.0031, ""value"": 21.299999237060547}, ""PETR4.SA"": {""weight"": 0.2156, ""value"": 19.700000762939453}, ""VALE3.SA"": {""weight"": 0.065, ""value"": 41.45000076293945}, ""PNVL3.SA"": {""weight"": 0.1065, ""value"": 13.869999885559082}, ""AXIA6.SA"": {""weight"": 0.1016, ""value"": 18.759334564208984}, ""AURA33.SA"": {""weight"": 0.1701, ""value"": null}, ""DASA3.SA"": {""weight"": 0.0236, ""value"": 27.100000381469727}}"
