Stock,AURA33.SA,PRIO3.SA,TEND3.SA,ORVR3.SA,JHSF3.SA,PETR3.SA,CSMG3.SA,BPAC11.SA,PETR4.SA,CPLE3.SA,CURY3.SA,ENEV3.SA,GGBR4.SA,VALE3.SA,B3SA3.SA,OPCT3.SA,ISAE4.SA,MDNE3.SA,CMIG3.SA,UGPA3.SA
CURY3.SA,0.14585266279994122,0.14372410694402724,0.513376867609131,0.4060082969959849,0.4753772036270045,0.15053617567375369,0.3003166274813107,0.5180393125148227,0.17127747791053438,0.3587691482760784,1.0,0.4021546497375716,0.186827637347156,0.1003045526041239,0.48624079227193645,0.3446538606923965,0.3136497484377018,0.44763060953347406,0.28098227349198857,0.2204321409793775
ENEV3.SA,0.1262410795641834,0.14348802749807316,0.21975468057506167,0.41680328112054194,0.21230446297574376,0.1321728137642361,0.1271424548914182,0.4200398998251097,0.14323018480689254,0.14821599027030882,0.4021546497375716,1.0,0.15735034217470292,0.1460300378632437,0.3159020694109802,0.2808925114916619,0.08683617470837789,0.4476614060308568,0.19807198066959186,0.18671887666807668
GGBR4.SA,0.15784378571508306,0.25737233910898105,0.19416943816937574,0.1764043373888824,0.38220829239207077,0.5452574849244978,0.4047626200472121,0.38453848361916837,0.6008379322340963,0.478961838678048,0.186827637347156,0.15735034217470292,1.0,0.7079001958844247,0.4348067419335789,0.13882219602289367,0.43314058510527315,0.3569952527834687,0.4741238106117286,0.2889875976575216
VALE3.SA,0.22128237767488057,0.22484711257181147,0.11698614151257158,0.0556061266546989,0.3189830875185726,0.6298448975541173,0.44065152899918975,0.2789517333830866,0.6736960201621367,0.4905618077007433,0.1003045526041239,0.1460300378632437,0.7079001958844247,1.0,0.3752486424042472,0.10728749430232508,0.5530352005401858,0.25413811102186434,0.47843005601803906,0.2387139341240199
B3SA3.SA,0.17881243797365082,0.24221242816318997,0.39647271562978764,0.45930007195751266,0.48247483016649695,0.43736958781232627,0.43191863443491724,0.5882478715977464,0.45639109229895175,0.508662020175641,0.48624079227193645,0.3159020694109802,0.4348067419335789,0.3752486424042472,1.0,0.3029315019687237,0.35334233710175605,0.4992124069780352,0.4612010292306187,0.40970655309464177
OPCT3.SA,0.0937114481841732,0.15693667402082973,0.29956704793430516,0.3242304750965103,0.29741399294428944,0.11730756068312675,0.20241021873957687,0.30726919309632544,0.12281244509095793,0.226834024951038,0.3446538606923965,0.2808925114916619,0.13882219602289367,0.10728749430232508,0.3029315019687237,1.0,0.203035969508211,0.31458358609597425,0.1675904231599314,0.1614916282441232
ISAE4.SA,0.12734802565008135,0.016950211418185666,0.10204476338337157,0.2583104975804855,0.31086389896779104,0.8246589367416872,0.70838877253031,0.35081269144215055,0.7047389315275285,0.66128568801972,0.3136497484377018,0.08683617470837789,0.43314058510527315,0.5530352005401858,0.35334233710175605,0.203035969508211,1.0,0.38649329512889574,0.6602428533130591,0.25302225312427307
MDNE3.SA,0.1684485857945742,0.33438788969245786,0.47885693100694837,0.376700886976762,0.55826537212332,0.3200895867406364,0.4082094770428449,0.5062642159686315,0.3158793843204244,0.43933807362888017,0.44763060953347406,0.4476614060308568,0.3569952527834687,0.25413811102186434,0.4992124069780352,0.31458358609597425,0.38649329512889574,1.0,0.4165200135964059,0.3027039632952192
CMIG3.SA,0.09350619264477565,0.15422584424480684,0.1992489397294949,0.25209550643721146,0.3991063493920414,0.6681930333240746,0.6812409930260548,0.42705459265461904,0.5945453958713937,0.6430546291939508,0.28098227349198857,0.19807198066959186,0.4741238106117286,0.47843005601803906,0.4612010292306187,0.1675904231599314,0.6602428533130591,0.4165200135964059,1.0,0.3660804950069562
UGPA3.SA,0.056253084906373735,0.18714071638349786,0.2458510180181524,0.22934452766788613,0.29685452039125515,0.3453878467243236,0.3315867318046274,0.3843276851919596,0.32518509223451336,0.31627727563953706,0.2204321409793775,0.18671887666807668,0.2889875976575216,0.2387139341240199,0.40970655309464177,0.1614916282441232,0.25302225312427307,0.3027039632952192,0.3660804950069562,1.0
