run_id,run_timestamp,symbol,avg_weight,total_contribution,volatility,beta,realized_return,observations
20260406-222822,2026-04-06 22:46:45,PETR3.SA,0.3205,1.5883015308948392,0.8149867223425333,,17.38939777371184,2557
20260406-222822,2026-04-06 22:46:45,AURA33.SA,0.1729,0.4842131286608747,0.42062705839413095,,9.107105734689782,1384
20260406-222822,2026-04-06 22:46:45,VALE3.SA,0.1073,0.44830718731797475,0.5064999987301209,,20.540577467885466,2557
20260407-211712,2026-04-07 21:33:48,VALE3.SA,0.1037,0.4326951781779205,0.5064059055600955,,20.421980102309487,2558
20260407-211712,2026-04-07 21:33:48,ENEV3.SA,0.1806,0.6244532428517396,0.4352175154976683,,11.262775729233523,2558
20260407-211712,2026-04-07 21:33:48,PETR3.SA,0.3395,1.6863599101539022,0.8148328558151281,,17.600650959932338,2558
20260407-211712,2026-04-07 21:33:48,PNVL3.SA,0.1559,0.305566823867219,0.3656806816724045,,2.598581921049044,2558
20260407-211712,2026-04-07 21:33:48,AXIA6.SA,0.0462,0.1466773700563985,0.4327780574110953,,8.684238223642144,2457
20260407-211712,2026-04-07 21:33:48,AURA33.SA,0.1741,0.4879622848731147,0.4204750796548642,,9.129660072591474,1385
20260408-220322,2026-04-08 22:27:00,PETR3.SA,0.2561,1.2713813140715238,0.8146749235728806,,17.548704299756633,2559
20260408-220322,2026-04-08 22:27:00,AURA33.SA,0.144,0.4025238544923341,0.420342731299614,,9.054035930280492,1386
20260408-220322,2026-04-08 22:27:00,VALE3.SA,0.099,0.4137990089469215,0.5063099499690692,,20.57667163410962,2559
20260408-220322,2026-04-08 22:27:00,ENEV3.SA,0.1474,0.5080417136889697,0.43514962190725104,,11.128230840410032,2559
20260408-220322,2026-04-08 22:27:00,PNVL3.SA,0.1246,0.24144743830644239,0.3656804567482448,,2.518557701387011,2559
20260408-220322,2026-04-08 22:27:00,OPCT3.SA,0.0918,0.04398159053353598,0.4980280740913828,,-0.12834351940050637,1242
20260408-220322,2026-04-08 22:27:00,NEOE3.SA,0.1372,0.13633723881163626,0.28717298565678606,,1.0651211588235747,1629
