run_id,run_timestamp,scoring_version,Sector,SectorMedianPE
20250811-083508,2025-08-11 08:35:08,3.0.0,Consumer Defensive,7.8018017
20250811-083508,2025-08-11 08:35:08,3.0.0,Energy,3.82234075
20250811-083508,2025-08-11 08:35:08,3.0.0,Financial Services,7.806801849999999
20250811-083508,2025-08-11 08:35:08,3.0.0,Healthcare,9.504098
20250811-083508,2025-08-11 08:35:08,3.0.0,Industrials,9.01778125
20250811-083508,2025-08-11 08:35:08,3.0.0,Real Estate,7.836735
20250811-083508,2025-08-11 08:35:08,3.0.0,Technology,10.596404849999999
20250811-083508,2025-08-11 08:35:08,3.0.0,Utilities,9.4433005
20250811-124417,2025-08-11 12:44:17,3.0.0,Basic Materials,6.6326754999999995
20250811-124417,2025-08-11 12:44:17,3.0.0,Communication Services,10.66635275
20250811-124417,2025-08-11 12:44:17,3.0.0,Consumer Cyclical,11.184777
20250811-124417,2025-08-11 12:44:17,3.0.0,Consumer Defensive,7.8018017
20250811-124417,2025-08-11 12:44:17,3.0.0,Energy,3.82234075
20250811-124417,2025-08-11 12:44:17,3.0.0,Financial Services,7.806801849999999
20250811-124417,2025-08-11 12:44:17,3.0.0,Healthcare,9.504098
20250811-124417,2025-08-11 12:44:17,3.0.0,Industrials,9.01778125
20250811-124417,2025-08-11 12:44:17,3.0.0,Real Estate,7.836735
20250811-124417,2025-08-11 12:44:17,3.0.0,Technology,10.596404849999999
20250811-124417,2025-08-11 12:44:17,3.0.0,Utilities,9.4433005
20250811-134127,2025-08-11 13:41:27,3.0.0,Basic Materials,6.6326754999999995
20250811-134127,2025-08-11 13:41:27,3.0.0,Communication Services,10.66635275
20250811-134127,2025-08-11 13:41:27,3.0.0,Consumer Cyclical,11.184777
20250811-134127,2025-08-11 13:41:27,3.0.0,Consumer Defensive,7.8018017
20250811-134127,2025-08-11 13:41:27,3.0.0,Energy,3.82234075
20250811-134127,2025-08-11 13:41:27,3.0.0,Financial Services,7.806801849999999
20250811-134127,2025-08-11 13:41:27,3.0.0,Healthcare,9.504098
20250811-134127,2025-08-11 13:41:27,3.0.0,Industrials,9.01778125
20250811-134127,2025-08-11 13:41:27,3.0.0,Real Estate,7.836735
20250811-134127,2025-08-11 13:41:27,3.0.0,Technology,10.596404849999999
20250811-134127,2025-08-11 13:41:27,3.0.0,Utilities,9.4433005
20250811-134348,2025-08-11 13:43:48,3.0.0,Basic Materials,6.6326754999999995
20250811-134348,2025-08-11 13:43:48,3.0.0,Communication Services,10.66635275
20250811-134348,2025-08-11 13:43:48,3.0.0,Consumer Cyclical,11.184777
20250811-134348,2025-08-11 13:43:48,3.0.0,Consumer Defensive,7.8018017
20250811-134348,2025-08-11 13:43:48,3.0.0,Energy,3.82234075
20250811-134348,2025-08-11 13:43:48,3.0.0,Financial Services,7.806801849999999
20250811-134348,2025-08-11 13:43:48,3.0.0,Healthcare,9.504098
20250811-134348,2025-08-11 13:43:48,3.0.0,Industrials,9.01778125
20250811-134348,2025-08-11 13:43:48,3.0.0,Real Estate,7.836735
20250811-134348,2025-08-11 13:43:48,3.0.0,Technology,10.596404849999999
20250811-134348,2025-08-11 13:43:48,3.0.0,Utilities,9.4433005
20250812-050354,2025-08-12 05:03:54,3.0.0,Basic Materials,6.6326754999999995
20250812-050354,2025-08-12 05:03:54,3.0.0,Communication Services,10.66635275
20250812-050354,2025-08-12 05:03:54,3.0.0,Consumer Cyclical,11.184777
20250812-050354,2025-08-12 05:03:54,3.0.0,Consumer Defensive,7.8018017
20250812-050354,2025-08-12 05:03:54,3.0.0,Energy,3.82234075
20250812-050354,2025-08-12 05:03:54,3.0.0,Financial Services,7.806801849999999
20250812-050354,2025-08-12 05:03:54,3.0.0,Healthcare,9.504098
20250812-050354,2025-08-12 05:03:54,3.0.0,Industrials,9.01778125
20250812-050354,2025-08-12 05:03:54,3.0.0,Real Estate,7.836735
20250812-050354,2025-08-12 05:03:54,3.0.0,Technology,10.596404849999999
20250812-050354,2025-08-12 05:03:54,3.0.0,Utilities,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,Basic Materials,6.6326754999999995
20250812-050603,2025-08-12 05:06:03,3.0.0,Communication Services,10.66635275
20250812-050603,2025-08-12 05:06:03,3.0.0,Consumer Cyclical,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,Consumer Defensive,7.8018017
20250812-050603,2025-08-12 05:06:03,3.0.0,Energy,3.82234075
20250812-050603,2025-08-12 05:06:03,3.0.0,Financial Services,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,Healthcare,9.504098
20250812-050603,2025-08-12 05:06:03,3.0.0,Industrials,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,Real Estate,7.836735
20250812-050603,2025-08-12 05:06:03,3.0.0,Technology,10.596404849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,Utilities,9.4433005
