run_id,run_timestamp,scoring_version,Stock,Name,Sector,Industry,CompositeScore,SharpeRatio,PotentialUpside_pct,Momentum,SharpeRatio_norm,PotentialUpside_pct_norm,Momentum_norm,sharpe_weight_used,upside_weight_used,momentum_weight_used,AnnualizedMeanReturn,AnnualizedStdDev,CurrentPrice,TargetPrice,forwardPE,forwardEps,SectorMedianPE
20250812-050603,2025-08-12 05:06:03,3.0.0,SAPR11.SA,Companhia de Saneamento do Paraná - SANEPAR,Utilities,Utilities - Regulated Water,0.6448455469655717,0.09193610583163157,0.04641216046706842,0.22681933723192493,0.8314189944810988,0.06602610264573143,0.41673235237331446,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.1777350728118227,0.3016776984508751,33.209999084472656,34.751346891092396,9.024456,3.68,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,VBBR3.SA,Vibra Energia S.A.,Consumer Cyclical,Specialty Retail,0.6406060557597801,-0.030075016147996184,0.35889817828686477,0.3808905085772094,0.7935593712325,0.08701790563337766,0.4750234837185121,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.13806938916452524,0.39669507662989756,21.399999618530273,29.08042049696039,8.230769,2.6,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,RANI3.SA,Irani Papel e Embalagem S.A.,Consumer Cyclical,Packaging and Containers,0.6351789280860906,0.10809006620495255,0.2347763448125113,0.10523115100070335,0.8364315117318527,0.07867980112253323,0.3707308008063126,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.2044397737976538,0.5036519608973968,7.789999961853027,9.618907678986483,9.05814,0.86,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,BPAN4.SA,Banco Pan S.A.,Financial Services,Banks - Regional,0.6347715720028553,0.11578868248370107,0.08980855582713576,0.0955881765144524,0.8388203653635538,0.06894133254346681,0.36708248757919537,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.21367217071663727,0.5498997773430927,7.449999809265137,8.119073533047676,7.1634617,1.04,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Consumer Cyclical,Residential Construction,0.6347206956866798,0.033180876643348005,0.6659125599651112,0.20721161208562155,0.8131874529227406,0.10764214174969676,0.40931398544649816,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.16492668990110818,0.44985821386068275,25.11000061035156,41.83106539751627,6.713904,3.74,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,SIMH3.SA,SIMPAR S.A.,Industrials,Rental and Leasing Services,0.6313951013032552,-0.1582301476224293,1.9261780034207714,0.4411764582135689,0.7537932833851412,0.1923027101992457,0.49783200901133,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.06837331454532927,0.5158731549024989,4.900000095367432,14.33827249582386,3.081761,1.59,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,POSI3.SA,Positivo Tecnologia S.A.,Technology,Computer Hardware,0.6298244166444437,0.16454058019599427,4.220287802447737,-0.22923008766172526,0.8539479082473068,0.34641360856582193,0.24419107359766487,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.24921528246262728,0.6029836672779806,4.079999923706055,21.298773835710413,2.0298507,2.01,10.596404849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,LREN3.SA,Lojas Renner S.A.,Consumer Cyclical,Department Stores,0.6293925027098283,-0.034413624572390694,0.049617442709311455,0.30428924514362055,0.7922131162542186,0.06624142317052933,0.44604223908314394,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.13596099897642544,0.4079489213361658,16.729999542236328,17.560099336050047,10.656051,1.57,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,CSMG3.SA,Companhia de Saneamento de Minas Gerais,Utilities,Utilities - Regulated Water,0.624844470177252,0.041784394946339135,0.3565374881276222,0.12049984997309005,0.8158570944790083,0.08685932208111687,0.3765075449531787,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.16812594938828943,0.43379710084512074,25.200000762939453,34.18474573577205,6.9613266,3.62,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,YDUQ3.SA,Yduqs Participações S.A.,Consumer Defensive,Education and Training Services,0.6230755988484783,-0.09818041657295698,0.024886066870195345,0.3577155122492688,0.7724265043311161,0.06458004909417772,0.4662554790160035,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.09528777289611892,0.5572621202235877,13.550000190734863,13.887206401572652,7.61236,1.78,7.8018017
20250812-050603,2025-08-12 05:06:03,3.0.0,SBFG3.SA,Grupo SBF S.A.,Consumer Cyclical,Specialty Retail,0.6172861001035826,0.029700199127970825,0.8384526287964065,0.05115275691881993,0.8121074108967026,0.11923282717508485,0.35027083581195345,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.16740407374535785,0.5859918201345383,10.890000343322754,20.020749758775487,6.0837994,1.79,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,VALE3.SA,Vale S.A.,Basic Materials,Other Industrial Metals and Mining,0.6115046693150664,0.00616510781844342,0.4297552817362513,0.05969105520887297,0.8048045546025948,0.09177785734661736,0.35350120696279363,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.15278118768792406,0.4511174451165186,55.38999938964844,79.1941441827176,4.6390285,11.94,6.6326754999999995
20250812-050603,2025-08-12 05:06:03,3.0.0,MILS3.SA,"Mills Locação, Serviços e Logística S.A.",Industrials,Rental and Leasing Services,0.6114961431755478,-0.11126331916342747,0.15632483740085834,0.27148318676270744,0.7683669255399628,0.07340968184116756,0.43363042809149244,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.08840154501512355,0.5536276955246902,11.619999885559082,13.436494478267099,7.7986574,1.49,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,EVEN3.SA,Even Construtora e Incorporadora S.A.,Real Estate,Real Estate - Development,0.6101363199530585,-0.06610272891332657,0.6415542820994464,0.1597336979616759,0.7823800983131682,0.10600583119205369,0.3913512393725252,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.11819563862637057,0.48113537665488937,6.96999979019165,11.441633001821346,4.7739725,1.46,7.836735
20250812-050603,2025-08-12 05:06:03,3.0.0,BBDC4.SA,Banco Bradesco S.A.,Financial Services,Banks - Regional,0.6092113188055389,-0.15415724211107357,0.144606222593338,0.3244962999392651,0.7550570916813457,0.07262246308800899,0.45368735578413133,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.09157937641769874,0.37896775255104753,15.960000038146973,18.267915356252935,6.8205132,2.34,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,CMIG3.SA,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified,0.6085095330940786,-0.0025202820102792874,0.8135717026520746,0.0295270546404236,0.8021095085990219,0.11756140679149127,0.342088989455265,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.14887157683382737,0.44773686498979276,14.84000015258789,26.913404344085865,5.207018,2.85,9.4433005
