run_id,Date,value
20250807-104233,2023-04-25,1053.8554672784937
20250807-104233,2023-04-26,1061.174171886154
20250807-104233,2023-04-27,1092.0948510371263
20250807-104233,2023-04-28,1114.0909206923766
20250807-104233,2023-05-02,1083.6894884741591
20250807-104233,2023-05-03,1065.5685667003188
20250807-104233,2023-05-04,1052.8084873081837
20250807-104233,2023-05-05,1064.2860739236355
20250807-104233,2023-05-08,1045.27559246243
20250807-104233,2023-05-09,1069.3901991643988
20250807-104233,2023-05-10,1072.6899943321746
20250807-104233,2023-05-11,1089.6440503056554
20250807-104233,2023-05-12,1097.8233329243642
20250807-104233,2023-05-15,1108.6144466902736
20250807-104233,2023-05-16,1113.1880292770516
20250807-104233,2023-05-17,1129.4707684965435
20250807-104233,2023-05-18,1139.0822140154726
20250807-104233,2023-05-19,1160.7822262048082
20250807-104233,2023-05-22,1153.8525591079379
20250807-104233,2023-05-23,1141.1162501665221
20250807-104233,2023-05-24,1110.9378138213062
20250807-104233,2023-05-25,1145.310479724118
20250807-104233,2023-05-26,1168.2067909345974
20250807-104233,2023-05-29,1162.8388692962096
20250807-104233,2023-05-30,1164.3946782539886
20250807-104233,2023-05-31,1179.5956580620789
20250807-104233,2023-06-01,1202.802885750161
20250807-104233,2023-06-02,1216.936552396027
20250807-104233,2023-06-05,1228.631968585454
20250807-104233,2023-06-06,1254.0533764661538
20250807-104233,2023-06-07,1242.4356183828877
20250807-104233,2023-06-09,1253.7171269910532
20250807-104233,2023-06-12,1259.6488687948208
20250807-104233,2023-06-13,1212.1118857791578
20250807-104233,2023-06-14,1251.3445817099623
20250807-104233,2023-06-15,1264.356142228448
20250807-104233,2023-06-16,1258.737707037657
20250807-104233,2023-06-19,1275.397812486198
20250807-104233,2023-06-20,1270.916366854942
20250807-104233,2023-06-21,1236.3788158560103
20250807-104233,2023-06-22,1215.0898395896252
20250807-104233,2023-06-23,1244.9855997395757
20250807-104233,2023-06-26,1220.0452532098504
20250807-104233,2023-06-27,1217.2493518555168
20250807-104233,2023-06-28,1231.0965920134022
20250807-104233,2023-06-29,1272.8102763024644
20250807-104233,2023-06-30,1287.3518102593303
20250807-104233,2023-07-03,1282.227749827029
20250807-104233,2023-07-04,1297.3648446188095
20250807-104233,2023-07-05,1320.2178498226212
20250807-104233,2023-07-06,1295.1034733583501
20250807-104233,2023-07-07,1300.042823789762
20250807-104233,2023-07-10,1290.079357300195
20250807-104233,2023-07-11,1270.8388593140896
20250807-104233,2023-07-12,1300.9269712269393
20250807-104233,2023-07-13,1320.119856001849
20250807-104233,2023-07-14,1294.5843381268598
20250807-104233,2023-07-17,1302.5485996094058
20250807-104233,2023-07-18,1320.3134729955511
20250807-104233,2023-07-19,1323.058566758353
20250807-104233,2023-07-20,1310.0267880305678
20250807-104233,2023-07-21,1334.332257675589
20250807-104233,2023-07-24,1335.6101553409412
20250807-104233,2023-07-25,1359.3541864080805
20250807-104233,2023-07-26,1353.59619234733
20250807-104233,2023-07-27,1340.0717463007954
20250807-104233,2023-07-28,1369.8425949768798
20250807-104233,2023-07-31,1410.2429366431934
20250807-104233,2023-08-01,1406.55697623107
20250807-104233,2023-08-02,1412.091186386928
20250807-104233,2023-08-03,1408.7218513989246
20250807-104233,2023-08-04,1393.7451402807087
20250807-104233,2023-08-07,1393.115159669253
20250807-104233,2023-08-08,1402.3043180151756
20250807-104233,2023-08-09,1411.483949166987
20250807-104233,2023-08-10,1406.9252433964364
20250807-104233,2023-08-11,1410.7249556017405
20250807-104233,2023-08-14,1385.4380359028198
20250807-104233,2023-08-15,1398.0753995154053
20250807-104233,2023-08-16,1395.8134274230335
20250807-104233,2023-08-17,1352.1325617327354
20250807-104233,2023-08-18,1366.1497897368972
20250807-104233,2023-08-21,1350.246347361934
20250807-104233,2023-08-22,1380.7893519323184
20250807-104233,2023-08-23,1425.470017823413
20250807-104233,2023-08-24,1410.9883176441863
20250807-104233,2023-08-25,1355.5936499612292
20250807-104233,2023-08-28,1363.0267473309366
20250807-104233,2023-08-29,1364.0259905523378
20250807-104233,2023-08-30,1364.46986331863
20250807-104233,2023-08-31,1337.2408390601404
20250807-104233,2023-09-01,1354.3043604971854
20250807-104233,2023-09-04,1332.2215864635104
20250807-104233,2023-09-05,1314.7160494202228
20250807-104233,2023-09-06,1296.4833627277435
20250807-104233,2023-09-08,1291.9386563915946
20250807-104233,2023-09-11,1320.1009288938335
20250807-104233,2023-09-12,1335.443131756065
20250807-104233,2023-09-13,1333.3581991222168
20250807-104233,2023-09-14,1313.3295537503861
20250807-104233,2023-09-15,1309.0978920280238
20250807-104233,2023-09-18,1318.9513499298496
20250807-104233,2023-09-19,1306.274508874026
20250807-104233,2023-09-20,1335.0606643403908
20250807-104233,2023-09-21,1301.5464065484819
20250807-104233,2023-09-22,1300.0548119212854
20250807-104233,2023-09-25,1264.7685710700725
20250807-104233,2023-09-26,1251.7770111311481
20250807-104233,2023-09-27,1256.6290015332347
20250807-104233,2023-09-28,1308.7687690630905
20250807-104233,2023-09-29,1327.1827554766408
20250807-104233,2023-10-02,1317.566758909132
20250807-104233,2023-10-03,1287.145299226771
20250807-104233,2023-10-04,1284.215441220702
20250807-104233,2023-10-05,1264.1404940742007
20250807-104233,2023-10-06,1257.8663276239768
20250807-104233,2023-10-09,1265.253265636826
20250807-104233,2023-10-10,1310.3125978050753
20250807-104233,2023-10-11,1288.938235366634
20250807-104233,2023-10-13,1275.2399712789318
20250807-104233,2023-10-16,1284.6908890120178
20250807-104233,2023-10-17,1261.4176961583103
20250807-104233,2023-10-18,1243.8927739667265
20250807-104233,2023-10-19,1248.186338205123
20250807-104233,2023-10-20,1233.0585713162757
20250807-104233,2023-10-23,1263.9942135392907
20250807-104233,2023-10-24,1272.9212459119713
20250807-104233,2023-10-25,1253.1670491916639
20250807-104233,2023-10-26,1306.1442157894023
20250807-104233,2023-10-27,1278.4843810857583
20250807-104233,2023-10-30,1256.1910665313271
20250807-104233,2023-10-31,1262.152117741271
20250807-104233,2023-11-01,1278.6536490321355
20250807-104233,2023-11-03,1351.6761540568712
20250807-104233,2023-11-06,1348.5193869869795
20250807-104233,2023-11-07,1362.97880513631
20250807-104233,2023-11-08,1348.8701133083944
20250807-104233,2023-11-09,1341.1542510449208
20250807-104233,2023-11-10,1377.2175014143072
20250807-104233,2023-11-13,1383.7715280451293
20250807-104233,2023-11-14,1405.2281957124903
20250807-104233,2023-11-16,1416.77264787084
20250807-104233,2023-11-17,1404.4196639000543
20250807-104233,2023-11-20,1399.6189251448786
20250807-104233,2023-11-21,1373.736019069483
20250807-104233,2023-11-22,1373.3368336534827
20250807-104233,2023-11-23,1394.8068787491743
20250807-104233,2023-11-24,1373.5755087874106
20250807-104233,2023-11-27,1399.9750745865167
20250807-104233,2023-11-28,1429.100860674196
20250807-104233,2023-11-29,1431.1021807831962
20250807-104233,2023-11-30,1478.7014250868306
20250807-104233,2023-12-01,1525.9314787476
20250807-104233,2023-12-04,1490.6237105306286
20250807-104233,2023-12-05,1482.4643468675886
20250807-104233,2023-12-06,1467.59089583198
20250807-104233,2023-12-07,1481.3785903331413
20250807-104233,2023-12-08,1483.4065269382036
20250807-104233,2023-12-11,1475.0623352789066
20250807-104233,2023-12-12,1485.554383440411
20250807-104233,2023-12-13,1554.1331597540675
20250807-104233,2023-12-14,1562.800610641725
20250807-104233,2023-12-15,1515.6865397595288
20250807-104233,2023-12-18,1508.0113733832102
20250807-104233,2023-12-19,1531.3772875125026
20250807-104233,2023-12-20,1534.624328160047
20250807-104233,2023-12-21,1534.7930618293751
20250807-104233,2023-12-22,1534.522822397974
20250807-104233,2023-12-26,1530.58209955462
20250807-104233,2023-12-27,1542.803134861406
20250807-104233,2023-12-28,1552.2127361203134
20250807-104233,2024-01-02,1521.1777171121623
20250807-104233,2024-01-03,1490.4506800400918
20250807-104233,2024-01-04,1459.271322970782
20250807-104233,2024-01-05,1470.5900942149235
20250807-104233,2024-01-08,1507.6661408329576
20250807-104233,2024-01-09,1502.6757562959708
20250807-104233,2024-01-10,1519.5751084406977
20250807-104233,2024-01-11,1499.9535595225443
20250807-104233,2024-01-12,1509.3996595683802
20250807-104233,2024-01-15,1510.48271364459
20250807-104233,2024-01-16,1501.348536205706
20250807-104233,2024-01-17,1530.2427569441022
20250807-104233,2024-01-18,1510.9669905959645
20250807-104233,2024-01-19,1528.8093167977017
20250807-104233,2024-01-22,1532.7419569469912
20250807-104233,2024-01-23,1558.0109702545544
20250807-104233,2024-01-24,1544.767638134414
20250807-104233,2024-01-25,1558.7979998664377
20250807-104233,2024-01-26,1552.5626170004668
20250807-104233,2024-01-29,1552.6042419776502
20250807-104233,2024-01-30,1551.4350036724056
20250807-104233,2024-01-31,1555.207555432673
20250807-104233,2024-02-01,1548.6320797803942
20250807-104233,2024-02-02,1531.864448215179
20250807-104233,2024-02-05,1536.3644086840288
20250807-104233,2024-02-06,1548.3075981214427
20250807-104233,2024-02-07,1565.4945219309075
20250807-104233,2024-02-08,1551.4288595914054
20250807-104233,2024-02-09,1532.1046913124576
20250807-104233,2024-02-14,1509.989737330924
20250807-104233,2024-02-15,1509.6525075692116
20250807-104233,2024-02-16,1509.9163935179574
20250807-104233,2024-02-19,1521.2257430625114
20250807-104233,2024-02-20,1565.711132369337
20250807-104233,2024-02-21,1571.959791144883
20250807-104233,2024-02-22,1583.0373148890178
20250807-104233,2024-02-23,1571.3962700310105
20250807-104233,2024-02-26,1577.2307135042788
20250807-104233,2024-02-27,1593.7995501504554
20250807-104233,2024-02-28,1575.6007950552164
20250807-104233,2024-02-29,1611.2658404290019
20250807-104233,2024-03-01,1621.1344406246692
20250807-104233,2024-03-04,1641.5172658888648
20250807-104233,2024-03-05,1648.8510555372795
20250807-104233,2024-03-06,1650.4340414641
20250807-104233,2024-03-07,1637.9681915120652
20250807-104233,2024-03-08,1656.4356417635258
20250807-104233,2024-03-11,1658.3473683856325
20250807-104233,2024-03-12,1690.2041784065811
20250807-104233,2024-03-13,1729.2006425398208
20250807-104233,2024-03-14,1755.181805566137
20250807-104233,2024-03-15,1744.2005669515206
20250807-104233,2024-03-18,1731.8668688320697
20250807-104233,2024-03-19,1756.8048393194001
20250807-104233,2024-03-20,1785.2757539619447
20250807-104233,2024-03-21,1775.6565960668288
