Ticker,Name,Sector,Industry
SAPR11.SA,Companhia de Saneamento do Paraná - SANEPAR,Utilities,Utilities - Regulated Water
SBFG3.SA,Grupo SBF S.A.,Consumer Cyclical,Specialty Retail
SBSP3.SA,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilities,Utilities - Regulated Water
SEER3.SA,Ser Educacional S.A.,Consumer Defensive,Education & Training Services
SIMH3.SA,SIMPAR S.A.,Industrials,Rental & Leasing Services
SLCE3.SA,SLC Agrícola S.A.,Consumer Defensive,Farm Products
SMFT3.SA,Smartfit Escola de Ginástica e Dança S.A.,Consumer Cyclical,Leisure
SMTO3.SA,São Martinho S.A.,Basic Materials,Specialty Chemicals
SOJA3.SA,Boa Safra Sementes S.A.,Basic Materials,Agricultural Inputs
SOMA3.SA,N/A,Unknown,Unknown
SRNA3.SA,Serena Energia S.A.,Utilities,Utilities - Renewable
STBP3.SA,Santos Brasil Participações S.A.,Industrials,Marine Shipping
SUZB3.SA,Suzano S.A.,Basic Materials,Paper & Paper Products
TEND3.SA,Construtora Tenda S.A.,Real Estate,Real Estate - Development
TFCO4.SA,Track & Field Co S.A.,Consumer Cyclical,Apparel Retail
TIMS3.SA,TIM S.A.,Communication Services,Telecom Services
TOTS3.SA,TOTVS S.A.,Technology,Software - Application
TRIS3.SA,Trisul S.A.,Real Estate,Real Estate Services
TTEN3.SA,Três Tentos Agroindustrial S/A,Basic Materials,Agricultural Inputs
TUPY3.SA,Tupy S.A.,Industrials,Metal Fabrication
UGPA3.SA,Ultrapar Participações S.A.,Energy,Oil & Gas Refining & Marketing
VALE3.SA,Vale S.A.,Basic Materials,Other Industrial Metals & Mining
VAMO3.SA,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Industrials,Rental & Leasing Services
VBBR3.SA,Vibra Energia S.A.,Consumer Cyclical,Specialty Retail
VITT3.SA,Vittia S.A.,Basic Materials,Agricultural Inputs
VIVA3.SA,Vivara Participações S.A.,Consumer Cyclical,Luxury Goods
VIVT3.SA,Telefônica Brasil S.A.,Communication Services,Telecom Services
VLID3.SA,Valid Soluções S.A.,Industrials,Specialty Business Services
VULC3.SA,VULCABRAS ON NM,Consumer Cyclical,Footwear & Accessories
VVAR3.SA,N/A,Unknown,Unknown
VVEO3.SA,CM Hospitalar S/A,Healthcare,Medical Distribution
WEGE3.SA,WEG S.A.,Industrials,Electrical Equipment & Parts
YDUQ3.SA,Yduqs Participações S.A.,Consumer Defensive,Education & Training Services



